Control Domain,Control Name,Control ID #,Control Description,Cadence,Evidence Request List (ERL) #,"Possible Solutions & Considerations
Micro-Small Business (<10 staff)
BLS Firm Size Classes 1-2","Possible Solutions & Considerations
Small Business (10-49 staff)
BLS Firm Size Classes 3-4","Possible Solutions & Considerations
Medium Business (50-249 staff)
BLS Firm Size Classes 5-6","Possible Solutions & Considerations
Large Business (250-999 staff)
BLS Firm Size Classes 7-8","Possible Solutions & Considerations
Enterprise (> 1,000 staff)
BLS Firm Size Class 9",SCF Control Question,Relative Control Weighting,Applicability,"NIST CSF
Function Grouping"
Cybersecurity & Data Protection Governance,Cybersecurity & Data Protection Governance Program ,GOV-01,Mechanisms exist to facilitate the implementation of cybersecurity and data protection governance controls.,Annual,"E-GOV-01
E-GOV-02",∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com),∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com),"∙ Steering committee
∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com)
∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com)","∙ Steering committee
∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com)
∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com)","∙ Steering committee
∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com)",Does the organization facilitate the implementation of cybersecurity and data protection governance controls?,10,Process,Govern
Cybersecurity & Data Protection Governance,Steering Committee & Program Oversight,GOV-01.1,"Mechanisms exist to coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data protection and business executives, which meets formally and on a regular basis.",Annual,E-GOV-03,∙ Third-party advisors (subject matter experts),∙ Third-party advisors (subject matter experts),∙ Steering committee / advisory board,∙ Steering committee / advisory board,∙ Steering committee / advisory board,"Does the organization coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data protection and business executives, which meets formally and on a regular basis?",7,Process,Govern
Cybersecurity & Data Protection Governance,Status Reporting To Governing Body,GOV-01.2,Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization's cybersecurity and data protection program.,Annual,"E-CPL-05
E-CPL-09
E-GOV-03
E-GOV-04
E-GOV-05
E-GOV-06
E-GOV-07
E-GOV-13",∙ Quarterly Business Review (QBR),∙ Quarterly Business Review (QBR),∙ Quarterly Business Review (QBR),∙ Quarterly Business Review (QBR),∙ Quarterly Business Review (QBR),Does the organization provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to its cybersecurity and data protection program?,5,Process,Govern
Cybersecurity & Data Protection Governance,Commitment To Continual Improvements,GOV-01.3,"Mechanisms exist to commit appropriate resources needed for continual improvement of the organization's cybersecurity and data protection program, including:
(1) Staffing;
(2) Budget;
(3) Processes; and
(4) Technologies.",Annual,,,,,,,"Does the organization commit appropriate resources needed for continual improvement of the organization's cybersecurity and data protection program, including:
(1) Staffing;
(2) Budget;
(3) Processes; and
(4) Technologies?",7,Process,Govern
Cybersecurity & Data Protection Governance,Publishing Cybersecurity & Data Protection Documentation ,GOV-02,"Mechanisms exist to establish, maintain and disseminate cybersecurity and data protection policies, standards and procedures.",Annual,"E-GOV-08
E-GOV-09
E-GOV-11","∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com)
∙ SCFConnect (https://scfconnect.com)","∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com)
∙ SCFConnect (https://scfconnect.com)","∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com)
∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com)","∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com)
∙ ComplianceForge - Cybersecurity & Data Protection Program (CDPP) (https://complianceforge.com)",∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com),"Does the organization establish, maintain and disseminate cybersecurity and data protection policies, standards and procedures?",10,Process,Govern
Cybersecurity & Data Protection Governance,Exception Management,GOV-02.1,"Mechanisms exist to prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded.",Annual,E-GOV-18,"∙ Manual exception management process
∙ SCFConnect (https://scfconnect.com)","∙ Manual exception management process
∙ Governance, Risk & Compliance (GRC) solution
∙ SCFConnect (https://scfconnect.com)","∙ Manual exception management process
∙ Governance, Risk & Compliance (GRC) solution
∙ SCFConnect (https://scfconnect.com)","∙ Governance, Risk & Compliance (GRC) solution
∙ SCFConnect (https://scfconnect.com)","∙ Governance, Risk & Compliance (GRC) solution
∙ SCFConnect (https://scfconnect.com)","Does the organization prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded?",8,Process,Govern
Cybersecurity & Data Protection Governance,Periodic Review & Update of Cybersecurity & Data Protection Program,GOV-03,"Mechanisms exist to review the cybersecurity and data protection program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness. ",Annual,E-GOV-12,"∙ Human reviews 
∙ Documentation change control","∙ Human reviews 
∙ Documentation change control","∙ Human reviews 
∙ Documentation change control","∙ Human reviews 
∙ Documentation change control","∙ Human reviews 
∙ Documentation change control","Does the organization review the cybersecurity and data protection program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness?",7,Process,Govern
Cybersecurity & Data Protection Governance,Assigned Cybersecurity & Data Protection Responsibilities ,GOV-04,"Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity and data protection program. ",Annual,"E-HRS-01
E-HRS-05
E-HRS-06
E-HRS-07
E-HRS-08
E-HRS-09
E-HRS-10
E-HRS-13
E-HRS-15","∙ Third-party advisors (e.g., virtual CISO, Managed Security Services Provider (MSSP), etc.)","∙ Third-party advisors (e.g., virtual CISO, Managed Security Services Provider (MSSP), etc.)",∙ Chief Information Security Officer (CISO),∙ Chief Information Security Officer (CISO),∙ Chief Information Security Officer (CISO),"Does the organization assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity and data protection program? ",10,People,Govern
Cybersecurity & Data Protection Governance,Stakeholder Accountability Structure,GOV-04.1,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks.",Annual,E-HRS-15,∙ Documented roles and responsibilities,∙ Documented roles and responsibilities,∙ Documented roles and responsibilities,∙ Documented roles and responsibilities,∙ Documented roles and responsibilities,"Does the organization enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks?",8,Process,Govern
Cybersecurity & Data Protection Governance,Authoritative Chain of Command,GOV-04.2,Mechanisms exist to establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks.,Annual,E-HRS-15,∙ Organization chart,∙ Organization chart,∙ Organization chart,∙ Organization chart,∙ Organization chart,Does the organization establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks?,7,Process,Govern
